[2026-03-03 07:44:59] User: 3 | Action: REGISTER | Details: New user registered: test@example.com
[2026-03-03 07:45:04] User: 3 | Action: LOGIN | Details: User logged in: test@example.com
[2026-03-03 07:46:18] User: 4 | Action: REGISTER | Details: New user registered: 123@123.com
[2026-03-03 07:51:39] User: 3 | Action: LOGIN | Details: User logged in: test@example.com
[2026-03-03 08:41:56] User: 5 | Action: REGISTER | Details: New user registered: 123@yml.com
[2026-03-04 03:47:21] User: 3 | Action: REGISTER | Details: New user registered: apitest1772596041@example.com
[2026-03-04 03:49:01] User: 4 | Action: REGISTER | Details: New user registered: d@d.com
[2026-03-04 03:49:35] User: 4 | Action: LOGIN | Details: User logged in: d@d.com
[2026-03-04 03:54:10] User: 4 | Action: LOGIN | Details: User logged in: d@d.com
[2026-03-04 03:56:34] User: 4 | Action: LOGIN | Details: User logged in: d@d.com
[2026-03-04 03:56:48] User: 4 | Action: LOGIN | Details: User logged in: d@d.com
[2026-03-04 03:59:47] User: 4 | Action: LOGIN | Details: User logged in: d@d.com
[2026-03-04 04:01:37] User: 4 | Action: UPDATE_PROFILE | Details: User updated profile
[2026-03-04 04:14:54] User: 4 | Action: LOGIN | Details: User logged in: d@d.com
[2026-03-04 04:16:09] User: 4 | Action: LOGIN | Details: User logged in: d@d.com
[2026-03-04 04:24:22] User: 4 | Action: UPDATE_PROFILE | Details: User updated profile
[2026-03-04 04:24:34] User: 4 | Action: LOGIN | Details: User logged in: d@d.com
[2026-03-04 04:33:35] User:  | Action: LOGOUT | Details: User logged out
[2026-03-04 04:33:58] User: 4 | Action: LOGIN | Details: User logged in: d@d.com
[2026-03-04 04:36:26] User:  | Action: LOGOUT | Details: User logged out
[2026-03-04 04:36:43] User: 4 | Action: LOGIN | Details: User logged in: d@d.com
[2026-03-04 04:38:11] User:  | Action: LOGOUT | Details: User logged out
[2026-03-04 04:38:15] User: 4 | Action: LOGIN | Details: User logged in: d@d.com
[2026-03-04 04:39:43] User:  | Action: LOGOUT | Details: User logged out
[2026-03-04 04:39:49] User: 4 | Action: LOGIN | Details: User logged in: d@d.com
[2026-03-04 04:41:36] User: 4 | Action: LOGIN | Details: User logged in: d@d.com
[2026-03-04 04:43:39] User:  | Action: LOGOUT | Details: User logged out
[2026-03-04 04:51:34] User: 4 | Action: LOGIN | Details: User logged in: d@d.com
[2026-03-04 04:53:18] User:  | Action: LOGOUT | Details: User logged out
[2026-03-04 04:53:35] User: 4 | Action: LOGIN | Details: User logged in: d@d.com
[2026-03-04 05:02:26] User:  | Action: LOGOUT | Details: User logged out
[2026-03-04 05:02:31] User: 4 | Action: LOGIN | Details: User logged in: d@d.com
[2026-03-04 05:53:22] User:  | Action: LOGOUT | Details: User logged out
[2026-03-04 05:53:28] User: 4 | Action: LOGIN | Details: User logged in: d@d.com
[2026-03-04 06:04:14] User: 5 | Action: REGISTER | Details: New user registered: jkd@jkd.com
[2026-03-04 06:09:13] User: 5 | Action: LOGIN | Details: User logged in: jkd@jkd.com
[2026-03-04 06:10:27] User: 5 | Action: LOGIN | Details: User logged in: jkd@jkd.com
[2026-03-04 06:18:24] User: 5 | Action: LOGIN | Details: User logged in: jkd@jkd.com
[2026-03-04 06:18:39] User: 5 | Action: PASSKEY_REGISTER | Details: Passkey registered: Mac
[2026-03-04 06:18:45] User:  | Action: LOGOUT | Details: User logged out
[2026-03-04 06:18:52] User: 5 | Action: PASSKEY_LOGIN | Details: Passkey login: Mac
[2026-03-04 06:23:03] User: 5 | Action: LOGIN | Details: User logged in: jkd@jkd.com
[2026-03-04 06:23:18] User: 5 | Action: PASSKEY_REGISTER | Details: Passkey registered: iPhone
[2026-03-04 08:05:29] User: 5 | Action: LOGIN | Details: User logged in: jkd@jkd.com
[2026-03-04 08:05:50] User: 5 | Action: LOGIN | Details: User logged in: jkd@jkd.com
[2026-03-04 13:18:07] User:  | Action: LOGOUT | Details: User logged out
[2026-03-04 13:18:20] User: 5 | Action: PASSKEY_LOGIN | Details: Passkey login: Mac
[2026-03-04 13:20:18] User: 5 | Action: LOGIN | Details: User logged in: jkd@jkd.com
[2026-03-04 13:23:21] User: 5 | Action: LOGIN | Details: User logged in: jkd@jkd.com
[2026-03-04 13:26:59] User: 5 | Action: PASSKEY_LOGIN | Details: Passkey login: Mac
[2026-03-04 13:27:35] User: 5 | Action: PASSKEY_LOGIN | Details: Passkey login: Mac
[2026-03-04 13:28:24] User: 5 | Action: PASSKEY_LOGIN | Details: Passkey login: Mac
[2026-03-04 13:31:02] User: 5 | Action: PASSKEY_LOGIN | Details: Passkey login: Mac
[2026-03-04 13:31:15] User: 5 | Action: PASSKEY_LOGIN | Details: Passkey login: Mac
[2026-03-04 13:47:53] User: 5 | Action: PASSKEY_LOGIN | Details: Passkey login: Mac
[2026-03-04 13:48:21] User: 5 | Action: PASSKEY_LOGIN | Details: Passkey login: Mac
[2026-03-04 13:51:55] User: 5 | Action: PASSKEY_LOGIN | Details: Passkey login: Mac
[2026-03-04 14:31:18] User: 6 | Action: REGISTER | Details: New user registered: gale@forever.com
[2026-03-04 14:34:39] User: 6 | Action: LOGIN | Details: User logged in: gale@forever.com
